card_id,customer_id,card_number,card_type,credit_limit,expiration_date,cvv,card_status
1,63,377583173047655,Amex,14446,2028-12-24,989,Active
2,96,3564471652214318,Discover,2218,2025-03-07,541,Active
3,52,3543229066971089,Discover,5735,2029-12-22,183,Active
4,96,30053698206409,Amex,12296,2028-10-26,640,Expired
5,4,340550110331298,Discover,5555,2026-10-29,623,Active
6,94,630471155576,Amex,10146,2028-10-04,458,Active
7,23,4871385539523,MasterCard,9050,2028-09-17,790,Active
8,15,30592225131655,Amex,13757,2026-05-24,935,Active
9,43,3549196044902656,Amex,18429,2028-12-06,663,Active
10,29,180047819021588,Amex,7893,2029-05-31,985,Active
11,36,6522812082649157,Discover,19077,2028-06-10,617,Active
12,13,213179334679060,Discover,15373,2025-07-08,184,Active
13,32,4343883140463339,Amex,15565,2028-12-19,331,Active
14,71,581492923999,Discover,4436,2026-01-07,848,Active
15,59,4884134603266032,Visa,9754,2028-07-26,822,Active
16,86,3528104188881996,Visa,11677,2029-12-05,318,Expired
17,28,30499145463632,Discover,6895,2027-09-19,783,Active
18,66,4061973461379704112,Discover,17609,2027-01-15,152,Active
19,42,4811129438964239,Amex,16636,2027-09-12,856,Active
20,45,347298588779571,MasterCard,8022,2025-05-03,209,Active
21,62,3596147486342044,Discover,10151,2026-12-09,103,Expired
22,57,3524775409454970,Visa,6600,2025-12-16,509,Active
23,6,3500869533810252,Amex,8996,2026-01-28,971,Active
24,28,375620699282663,Discover,10007,2026-03-08,810,Active
25,28,3550883689359997,Visa,13946,2029-07-14,505,Active
26,44,2288454827607936,Visa,5642,2025-03-22,837,Active
27,84,349031736637427,MasterCard,12312,2029-01-17,602,Active
28,30,4348263449585485,Amex,8679,2025-02-14,500,Active
29,62,4292545366642273,Amex,9208,2029-12-01,591,Active
30,75,6011057622241267,MasterCard,19589,2026-11-29,996,Active
31,92,4291541981337856965,MasterCard,11716,2028-11-09,164,Active
32,89,4317024445222847,Amex,18453,2028-02-08,950,Active
33,62,3517129764988728,Amex,4444,2027-10-20,628,Active
34,97,213141205036960,Discover,11757,2026-11-27,923,Active
